batch_id, latency
1,13
2,15
3,15
4,15
5,14
6,14
7,14
8,14
9,14
10,14
11,13
12,14
13,14
14,14
15,14
16,14
17,13
18,14
19,14
20,14
21,14
22,13
23,15
24,15
25,16
26,15
27,14
28,66
29,15
30,14
31,14
32,14
33,14
34,14
35,14
36,14
37,14
38,14
39,14
40,14
41,14
42,14
43,14
44,14
45,21
46,20
47,21
48,20
49,20
50,20
51,20
52,18
53,18
54,18
55,18
56,18
57,18
58,17
59,16
60,97
61,15
62,14
63,13
64,14
65,13
66,14
67,14
68,14
69,14
70,14
71,13
72,14
73,14
74,13
75,14
76,14
77,26
78,25
79,25
80,25
81,25
82,25
83,25
84,25
85,25
86,25
87,25
88,24
89,24
90,24
91,22
92,99
93,15
94,14
95,14
96,14
97,13
98,14
99,14
100,14
101,14
102,14
103,14
104,13
105,14
106,14
107,14
108,14
109,28
110,28
111,28
112,28
113,28
114,28
115,28
116,26
117,27
118,26
119,26
120,26
121,25
122,26
123,24
124,102
125,15
126,14
127,14
128,14
129,14
130,14
131,14
132,14
133,14
134,14
135,14
136,14
137,14
138,14
139,14
140,14
141,29
142,29
143,29
144,28
145,30
146,29
147,29
148,28
149,29
150,28
151,29
152,29
153,29
154,29
155,27
156,104
157,15
158,14
159,14
160,14
161,14
162,14
163,14
164,14
165,14
166,14
167,14
168,14
169,14
170,14
171,14
172,14
173,32
174,32
175,32
176,32
177,31
178,31
179,31
180,30
181,30
182,30
183,30
184,31
185,31
186,31
187,29
188,108
189,15
190,15
191,15
192,15
193,14
194,14
195,14
196,14
197,16
198,15
199,15
200,15
201,15
202,15
203,15
204,15
205,34
206,33
207,34
208,34
209,34
210,33
211,33
212,33
213,32
214,33
215,32
216,32
217,33
218,32
219,31
220,109
221,15
222,14
223,14
224,13
225,14
226,14
227,14
228,14
229,14
230,13
231,14
232,14
233,14
234,14
235,14
236,14
237,36
238,35
239,36
240,35
241,35
242,35
243,35
244,34
245,34
246,34
247,34
248,34
249,34
250,34
251,32
252,111
253,15
254,14
255,14
256,14
257,14
258,14
259,14
