version,name,part,key_size,elements,wall_time,cpu_cycles,k_cycles,instructions,cache_references,cache_misses,branch_misses,ipc,GHZ,CPUs,maxrss_mb,scale
baseline,AccountEvent.transfer_pending_status,swap,16,262048,0.00,0.06,0.05,0.09,0.00,0.00,-nan,1.66,16.60,0.07,34731,262048
baseline,AccountEvent.prunable,swap,8,262048,0.00,0.06,0.05,0.09,0.00,0.00,-nan,1.64,16.93,0.07,34731,262048
baseline,Account,absorb,8,257897,0.02,380.03,1.37,748.04,115.50,3.10,1.21,1.97,5.34,1.02,34731,257897
baseline,Transfer.id,swap,16,262048,0.00,0.07,0.05,0.09,0.00,0.00,-nan,1.30,16.93,inf,34731,262048
baseline,Transfer.debit_account_id,swap,32,262048,0.01,119.10,0.42,437.22,18.08,0.46,1.75,3.67,5.26,1.05,34731,262048
baseline,Transfer.credit_account_id,swap,32,262048,0.01,114.58,0.38,435.12,15.21,0.72,1.74,3.80,5.25,1.09,34731,262048
baseline,Transfer.amount,swap,32,262048,0.01,135.43,0.41,440.21,18.99,0.67,2.28,3.25,5.26,1.00,34731,262048
baseline,Transfer.user_data_128,swap,32,262048,0.01,148.34,0.39,433.56,19.14,0.61,2.83,2.92,5.25,1.00,34731,262048
baseline,Transfer.user_data_64,swap,16,262048,0.01,131.63,0.32,384.62,8.28,0.17,2.91,2.92,5.26,1.00,34731,262048
baseline,Transfer.user_data_32,swap,16,262048,0.01,131.82,0.41,382.58,8.64,0.19,2.79,2.90,5.27,1.00,34731,262048
baseline,Transfer.ledger,swap,16,262048,0.00,0.06,0.05,0.09,0.00,0.00,-nan,1.53,17.53,0.07,34731,262048
baseline,Transfer.code,swap,16,262048,0.01,128.10,0.37,383.48,8.42,0.17,2.81,2.99,5.27,1.00,34731,262048
baseline,Transfer,swap,8,262048,0.00,0.06,0.05,0.09,0.00,0.00,-nan,1.50,16.08,0.07,34731,262048
baseline,AccountEvent,swap,8,262048,0.00,0.06,0.05,0.09,0.00,0.00,-nan,1.48,14.72,0.22,34731,262048
baseline,AccountEvent.transfer_pending_status,swap,16,262048,0.00,0.06,0.05,0.09,0.00,0.00,-nan,1.62,17.00,0.07,34731,262048
baseline,AccountEvent.prunable,swap,8,262048,0.00,0.06,0.05,0.09,0.00,0.00,-nan,1.63,17.04,0.07,34731,262048
baseline,Account,absorb,8,257715,0.02,314.41,0.98,706.06,118.03,3.58,1.14,2.25,5.34,1.01,34731,257715
baseline,Transfer.id,swap,16,262048,0.00,0.07,0.06,0.09,0.00,0.00,-nan,1.34,17.93,0.17,34731,262048
baseline,Transfer.debit_account_id,swap,32,262048,0.01,120.01,0.55,445.18,19.43,0.47,1.90,3.71,5.28,1.00,34731,262048
baseline,Transfer.credit_account_id,swap,32,262048,0.01,116.48,0.35,445.53,17.40,0.56,1.88,3.82,5.27,1.00,34731,262048
baseline,Transfer.amount,swap,32,262048,0.01,132.59,0.43,441.38,19.41,0.45,2.36,3.33,5.26,1.00,34731,262048
baseline,Transfer.user_data_128,swap,32,262048,0.01,148.69,0.41,434.71,19.03,0.56,2.88,2.92,5.26,1.00,34731,262048
baseline,Transfer.user_data_64,swap,16,262048,0.01,131.49,0.40,383.41,8.67,0.19,2.73,2.92,5.26,1.00,34731,262048
baseline,Transfer.user_data_32,swap,16,262048,0.01,131.08,0.31,381.75,8.51,0.18,2.92,2.91,5.27,1.01,34731,262048
baseline,Transfer.ledger,swap,16,262048,0.00,0.06,0.05,0.09,0.00,0.00,-nan,1.57,16.96,0.18,34731,262048
baseline,Transfer.code,swap,16,262048,0.01,128.34,0.34,384.09,8.65,0.19,2.79,2.99,5.28,1.11,34731,262048
baseline,Transfer,swap,8,262048,0.00,0.06,0.05,0.09,0.00,0.00,-nan,1.54,17.25,0.18,34731,262048
baseline,AccountEvent,swap,8,262048,0.00,0.06,0.05,0.09,0.00,0.00,-nan,1.59,15.36,0.20,34731,262048
baseline,AccountEvent.transfer_pending_status,swap,16,262048,0.00,0.06,0.05,0.09,0.00,0.00,-nan,1.65,16.88,0.17,34731,262048
baseline,AccountEvent.prunable,swap,8,262048,0.00,0.06,0.05,0.09,0.00,0.00,-nan,1.64,16.57,0.18,34731,262048
baseline,Account,absorb,8,257325,0.02,315.40,1.49,694.46,116.11,3.48,1.14,2.20,5.34,1.01,34731,257325
baseline,Transfer.id,swap,16,262048,0.00,0.07,0.05,0.09,0.00,0.00,-nan,1.32,16.84,0.14,34731,262048
baseline,Transfer.debit_account_id,swap,32,262048,0.01,119.07,0.48,445.58,18.99,0.49,1.88,3.74,5.31,1.00,34731,262048
baseline,Transfer.credit_account_id,swap,32,262048,0.01,116.20,0.52,444.34,16.91,0.62,1.87,3.82,5.27,1.00,34731,262048
baseline,Transfer.amount,swap,32,262048,0.01,133.15,0.52,440.29,19.47,0.47,2.40,3.31,5.27,1.00,34731,262048
baseline,Transfer.user_data_128,swap,32,262048,0.01,149.10,0.49,435.62,18.96,0.59,2.87,2.92,5.26,1.00,34731,262048
baseline,Transfer.user_data_64,swap,16,262048,0.01,131.78,0.56,383.43,8.71,0.19,2.75,2.91,5.26,1.00,34731,262048
baseline,Transfer.user_data_32,swap,16,262048,0.01,131.32,0.41,383.23,8.41,0.18,2.92,2.92,5.28,1.01,34731,262048
