version,name,part,key_size,elements,wall_time,cpu_cycles,k_cycles,instructions,cache_references,cache_misses,branch_misses,ipc,GHZ,CPUs,maxrss_mb,scale
baseline,Transfer.ledger,swap,16,262048,0.00,0.06,0.05,0.09,0.00,0.00,-nan,1.55,17.70,0.09,34731,262048
baseline,Transfer.code,swap,16,262048,0.01,128.27,0.40,385.36,8.70,0.19,2.80,3.00,5.26,1.00,34731,262048
baseline,Transfer,swap,8,262048,0.00,0.06,0.05,0.09,0.00,0.00,-nan,1.49,16.40,0.07,34731,262048
baseline,AccountEvent,swap,8,262048,0.00,0.06,0.05,0.09,0.00,0.00,-nan,1.60,15.16,0.08,34731,262048
baseline,AccountEvent.transfer_pending_status,swap,16,262048,0.00,0.06,0.05,0.09,0.00,0.00,-nan,1.63,16.82,0.07,34731,262048
baseline,AccountEvent.prunable,swap,8,262048,0.00,0.06,0.05,0.09,0.00,0.00,-nan,1.65,17.27,0.07,34731,262048
baseline,Account,absorb,8,258044,0.01,302.02,1.21,708.20,116.13,3.06,1.17,2.34,5.32,1.02,34731,258044
baseline,Transfer.id,swap,16,262048,0.00,0.06,0.05,0.09,0.00,0.00,-nan,1.46,10.15,0.14,34731,262048
baseline,Transfer.debit_account_id,swap,32,262048,0.01,120.65,0.41,436.78,18.01,0.49,1.73,3.62,5.27,1.15,34731,262048
baseline,Transfer.credit_account_id,swap,32,262048,0.01,117.53,0.35,436.98,16.07,0.65,1.73,3.72,5.25,1.04,34731,262048
baseline,Transfer.amount,swap,32,262048,0.01,133.22,0.43,442.20,19.36,0.51,2.25,3.32,5.24,1.00,34731,262048
baseline,Transfer.user_data_128,swap,32,262048,0.01,148.77,0.51,434.61,18.90,0.61,2.81,2.92,5.22,1.00,34731,262048
baseline,Transfer.user_data_64,swap,16,262048,0.01,131.33,0.43,384.54,8.25,0.19,2.91,2.93,5.23,1.00,34731,262048
baseline,Transfer.user_data_32,swap,16,262048,0.01,131.29,0.43,382.78,8.68,0.19,2.73,2.92,5.23,1.00,34731,262048
baseline,Transfer.ledger,swap,16,262048,0.00,0.06,0.05,0.09,0.00,0.00,-nan,1.55,17.29,0.06,34731,262048
baseline,Transfer.code,swap,16,262048,0.01,128.31,0.45,384.24,8.58,0.17,2.83,2.99,5.25,1.00,34731,262048
baseline,Transfer,swap,8,262048,0.00,0.06,0.05,0.09,0.00,0.00,-nan,1.51,15.74,0.07,34731,262048
baseline,AccountEvent,swap,8,262048,0.00,0.06,0.05,0.09,0.00,0.00,-nan,1.60,15.31,inf,34731,262048
baseline,AccountEvent.transfer_pending_status,swap,16,262048,0.00,0.06,0.04,0.09,0.00,0.00,-nan,1.66,16.95,inf,34731,262048
baseline,AccountEvent.prunable,swap,8,262048,0.00,0.06,0.05,0.09,0.00,0.00,-nan,1.65,16.91,inf,34731,262048
baseline,Account,absorb,8,257647,0.01,300.52,1.15,704.98,114.75,3.09,1.18,2.35,5.32,1.01,34731,257647
baseline,Transfer.id,swap,16,262048,0.00,0.06,0.05,0.09,0.00,0.00,-nan,1.43,16.58,0.09,34731,262048
baseline,Transfer.debit_account_id,swap,32,262048,0.01,120.15,0.41,445.66,19.02,0.55,1.89,3.71,5.26,1.00,34731,262048
baseline,Transfer.credit_account_id,swap,32,262048,0.01,117.22,0.42,446.21,17.23,0.60,1.87,3.81,5.25,1.00,34731,262048
baseline,Transfer.amount,swap,32,262048,0.01,133.24,0.39,439.96,19.18,0.56,2.31,3.30,5.24,1.00,34731,262048
baseline,Transfer.user_data_128,swap,32,262048,0.01,148.48,0.49,433.66,18.98,0.59,2.87,2.92,5.23,1.00,34731,262048
baseline,Transfer.user_data_64,swap,16,262048,0.01,131.30,0.42,381.60,8.24,0.17,2.92,2.91,5.23,1.00,34731,262048
baseline,Transfer.user_data_32,swap,16,262048,0.01,131.49,0.46,382.82,8.58,0.19,2.80,2.91,5.24,1.00,34731,262048
baseline,Transfer.ledger,swap,16,262048,0.00,0.06,0.05,0.09,0.00,0.00,-nan,1.56,17.08,0.07,34731,262048
baseline,Transfer.code,swap,16,262048,0.01,128.30,0.42,385.59,8.38,0.17,2.81,3.01,5.25,1.00,34731,262048
baseline,Transfer,swap,8,262048,0.00,0.06,0.05,0.09,0.00,0.00,-nan,1.50,15.93,0.07,34731,262048
baseline,AccountEvent,swap,8,262048,0.00,0.06,0.05,0.09,0.00,0.00,-nan,1.57,15.23,0.08,34731,262048
baseline,AccountEvent.transfer_pending_status,swap,16,262048,0.00,0.06,0.05,0.09,0.00,0.00,-nan,1.65,16.85,inf,34731,262048
baseline,AccountEvent.prunable,swap,8,262048,0.00,0.06,0.05,0.09,0.00,0.00,-nan,1.63,16.83,inf,34731,262048
baseline,Account,absorb,8,257846,0.01,301.94,1.31,705.76,116.48,3.02,1.17,2.34,5.31,1.01,34731,257846
baseline,Transfer.id,swap,16,262048,0.00,0.06,0.05,0.09,0.00,0.00,-nan,1.49,16.09,0.07,34731,262048
baseline,Transfer.debit_account_id,swap,32,262048,0.01,120.58,0.43,436.76,17.71,0.47,1.80,3.62,5.27,1.00,34731,262048
baseline,Transfer.credit_account_id,swap,32,262048,0.01,117.29,0.47,438.13,16.02,0.67,1.77,3.74,5.25,1.00,34731,262048
baseline,Transfer.amount,swap,32,262048,0.01,132.33,0.38,437.25,18.93,0.55,2.37,3.30,5.24,1.01,34731,262048
baseline,Transfer.user_data_128,swap,32,262048,0.01,148.18,0.48,434.33,18.75,0.60,2.76,2.93,5.22,1.00,34731,262048
baseline,Transfer.user_data_64,swap,16,262048,0.01,131.20,0.37,383.13,8.35,0.18,2.91,2.92,5.23,1.00,34731,262048
baseline,Transfer.user_data_32,swap,16,262048,0.01,131.30,0.47,383.06,8.95,0.19,2.71,2.92,5.24,1.00,34731,262048
baseline,Transfer.ledger,swap,16,262048,0.00,0.06,0.05,0.09,0.00,0.00,-nan,1.57,17.17,0.06,34731,262048
baseline,Transfer.code,swap,16,262048,0.01,127.70,0.40,383.48,8.73,0.18,2.82,3.00,5.25,1.00,34731,262048
baseline,Transfer,swap,8,262048,0.00,0.11,0.11,0.13,0.01,0.00,0.00,1.13,29.14,inf,34731,262048
baseline,AccountEvent,swap,8,262048,0.00,0.06,0.05,0.09,0.00,0.00,-nan,1.59,15.71,inf,34731,262048
baseline,AccountEvent.transfer_pending_status,swap,16,262048,0.00,0.06,0.05,0.09,0.00,0.00,-nan,1.66,16.36,inf,34731,262048
baseline,AccountEvent.prunable,swap,8,262048,0.00,0.06,0.05,0.09,0.00,0.00,-nan,1.63,16.65,inf,34731,262048
baseline,Account,absorb,8,257710,0.01,299.20,1.30,704.95,115.20,2.94,1.18,2.36,5.31,1.01,34731,257710
baseline,Transfer.id,swap,16,262048,0.00,0.06,0.05,0.09,0.00,0.00,-nan,1.44,14.95,0.09,34731,262048
baseline,Transfer.debit_account_id,swap,32,262048,0.01,120.50,0.41,444.33,19.08,0.48,1.91,3.69,5.26,1.00,34731,262048
baseline,Transfer.credit_account_id,swap,32,262048,0.01,116.95,0.46,445.81,17.08,0.60,1.86,3.81,5.25,1.00,34731,262048
baseline,Transfer.amount,swap,32,262048,0.01,133.17,0.42,440.69,19.18,0.58,2.30,3.31,5.24,1.00,34731,262048
baseline,Transfer.user_data_128,swap,32,262048,0.01,148.62,0.50,433.94,18.76,0.60,2.87,2.92,5.22,1.00,34731,262048
baseline,Transfer.user_data_64,swap,16,262048,0.01,131.59,0.40,382.50,8.30,0.17,2.91,2.91,5.23,1.00,34731,262048
baseline,Transfer.user_data_32,swap,16,262048,0.01,131.49,0.51,382.38,8.55,0.19,2.79,2.91,5.24,1.00,34731,262048
baseline,Transfer.ledger,swap,16,262048,0.00,0.06,0.05,0.09,0.00,0.00,-nan,1.55,17.52,0.07,34731,262048
baseline,Transfer.code,swap,16,262048,0.01,128.27,0.39,384.60,8.42,0.17,2.82,3.00,5.25,1.00,34731,262048
baseline,Transfer,swap,8,262048,0.00,0.06,0.05,0.09,0.00,0.00,-nan,1.47,15.92,0.08,34731,262048
baseline,AccountEvent,swap,8,262048,0.00,0.06,0.05,0.09,0.00,0.00,-nan,1.58,15.50,0.08,34731,262048
baseline,AccountEvent.transfer_pending_status,swap,16,262048,0.00,0.06,0.05,0.09,0.00,0.00,-nan,1.64,16.61,inf,34731,262048
baseline,AccountEvent.prunable,swap,8,262048,0.00,0.06,0.05,0.09,0.00,0.00,-nan,1.66,16.56,inf,34731,262048
baseline,Account,absorb,8,257703,0.01,299.60,1.12,706.28,115.12,2.96,1.17,2.36,5.31,1.01,34731,257703
baseline,Transfer.id,swap,16,262048,0.00,0.06,0.05,0.09,0.00,0.00,-nan,1.45,16.25,0.09,34731,262048
baseline,Transfer.debit_account_id,swap,32,262048,0.01,120.57,0.44,434.87,17.67,0.50,1.74,3.61,5.26,1.15,34731,262048
baseline,Transfer.credit_account_id,swap,32,262048,0.01,117.16,0.37,435.44,15.91,0.62,1.74,3.72,5.25,1.03,34731,262048
baseline,Transfer.amount,swap,32,262048,0.01,132.81,0.41,441.83,18.89,0.55,2.24,3.33,5.24,1.16,34731,262048
baseline,Transfer.user_data_128,swap,32,262048,0.01,148.82,0.49,433.89,18.96,0.59,2.79,2.92,5.23,1.00,34731,262048
baseline,Transfer.user_data_64,swap,16,262048,0.01,131.04,0.38,384.66,8.42,0.20,2.92,2.94,5.23,1.00,34731,262048
baseline,Transfer.user_data_32,swap,16,262048,0.01,131.09,0.43,382.97,8.69,0.19,2.72,2.92,5.24,1.00,34731,262048
baseline,Transfer.ledger,swap,16,262048,0.00,0.06,0.05,0.09,0.00,0.00,-nan,1.55,17.77,0.07,34731,262048
baseline,Transfer.code,swap,16,262048,0.01,127.27,0.36,383.47,8.57,0.20,2.81,3.01,5.25,1.00,34731,262048
baseline,Transfer,swap,8,262048,0.00,0.06,0.05,0.09,0.00,0.00,-nan,1.46,14.51,0.08,34731,262048
baseline,AccountEvent,swap,8,262048,0.00,0.06,0.05,0.09,0.00,0.00,-nan,1.46,13.36,inf,34731,262048
baseline,AccountEvent.transfer_pending_status,swap,16,262048,0.00,0.06,0.05,0.09,0.00,0.00,-nan,1.64,16.73,inf,34731,262048
baseline,AccountEvent.prunable,swap,8,262048,0.00,0.06,0.05,0.09,0.00,0.00,-nan,1.64,16.56,inf,34731,262048
optimized,Account.id,swap,16,16378,0.00,13.54,1.03,17.24,3.18,0.08,-nan,1.27,5.86,2.91,35518,16378
optimized,Account.user_data_128,swap,32,16378,0.00,69.54,0.80,378.66,2.76,0.03,-nan,5.45,5.46,4.17,35518,16378
optimized,Account.user_data_64,swap,16,16378,0.00,47.59,0.75,264.62,1.45,0.03,-nan,5.56,5.49,4.06,35518,16378
optimized,Account.user_data_32,swap,16,16378,0.00,48.38,0.75,264.62,1.41,0.01,-nan,5.47,5.51,3.99,35518,16378
optimized,Account.ledger,swap,16,16378,0.00,8.58,0.74,16.86,1.64,0.03,-nan,1.97,5.85,3.00,35518,16378
optimized,Account.code,swap,16,16378,0.00,7.09,0.75,16.86,1.60,0.01,-nan,2.38,5.95,2.79,35518,16378
optimized,Account,swap,8,233717,0.01,133.57,0.50,199.84,4.83,0.45,0.41,1.50,5.37,1.00,35518,233717
optimized,Transfer.id,swap,16,221103,0.00,10.83,0.11,15.90,3.17,0.02,0.00,1.47,5.29,0.98,35518,221103
optimized,Transfer.debit_account_id,swap,32,221103,0.00,73.99,0.55,370.11,2.34,0.21,0.00,5.00,5.34,1.00,35518,221103
optimized,Transfer.credit_account_id,swap,32,221103,0.00,73.32,0.31,368.70,2.34,0.20,0.00,5.03,5.29,1.00,35518,221103
optimized,Transfer.amount,swap,32,221103,0.00,76.17,0.29,365.42,2.34,0.21,0.00,4.80,5.28,1.00,35518,221103
optimized,Transfer.user_data_128,swap,32,221103,0.00,74.17,0.27,368.26,2.33,0.21,0.00,4.97,5.28,1.00,35518,221103
optimized,Transfer.user_data_64,swap,16,221103,0.00,57.71,0.39,257.16,1.20,0.16,0.00,4.46,5.27,1.00,35518,221103
optimized,Transfer.user_data_32,swap,16,221103,0.00,57.83,0.27,256.73,1.22,0.16,0.00,4.44,5.29,1.00,35518,221103
optimized,Transfer.ledger,swap,16,221103,0.00,5.89,0.13,15.55,1.54,0.01,0.00,2.64,5.20,0.97,35518,221103
optimized,Transfer.code,swap,16,221103,0.00,57.61,0.20,256.74,1.23,0.15,0.00,4.46,5.30,1.00,35518,221103
optimized,Transfer,swap,8,221103,0.00,53.48,0.27,23.21,10.71,0.09,0.00,0.43,5.30,1.00,35518,221103
optimized,AccountEvent,swap,8,221103,0.00,94.38,0.35,36.74,17.79,0.14,0.00,0.39,5.33,1.00,35518,221103
optimized,AccountEvent.transfer_pending_status,swap,16,221103,0.00,5.53,0.06,15.49,1.57,0.02,-nan,2.80,5.39,inf,35518,221103
optimized,AccountEvent.prunable,swap,8,221103,0.00,3.53,0.06,12.80,0.76,0.00,-nan,3.62,5.43,inf,35518,221103
optimized,Account,absorb,8,258087,0.01,153.25,0.54,223.54,7.76,0.68,0.45,1.46,5.37,1.00,35518,258087
optimized,Transfer.id,swap,16,262048,0.00,10.32,0.05,15.84,3.14,0.01,-nan,1.53,5.42,0.97,35518,262048
optimized,Transfer.debit_account_id,swap,32,262048,0.00,74.26,0.32,368.23,2.49,0.21,0.00,4.96,5.34,1.00,35518,262048
optimized,Transfer.credit_account_id,swap,32,262048,0.00,74.85,0.33,373.81,2.38,0.22,0.00,4.99,5.29,1.00,35518,262048
optimized,Transfer.amount,swap,32,262048,0.00,74.90,0.40,367.91,2.37,0.22,0.00,4.91,5.28,1.00,35518,262048
optimized,Transfer.user_data_128,swap,32,262048,0.00,74.43,0.21,368.56,2.36,0.21,0.00,4.95,5.29,1.00,35518,262048
optimized,Transfer.user_data_64,swap,16,262048,0.00,58.16,0.26,256.09,1.34,0.15,0.00,4.40,5.29,1.00,35518,262048
optimized,Transfer.user_data_32,swap,16,262048,0.00,57.82,0.26,256.35,1.25,0.14,0.00,4.43,5.30,1.00,35518,262048
optimized,Transfer.ledger,swap,16,262048,0.00,7.56,0.10,15.52,1.55,0.02,0.00,2.05,5.31,0.98,35518,262048
optimized,Transfer.code,swap,16,262048,0.00,57.75,0.22,256.62,1.42,0.13,0.00,4.44,5.31,1.00,35518,262048
optimized,Transfer,swap,8,262048,0.00,77.15,0.34,25.95,8.86,0.13,0.00,0.34,5.32,1.00,35518,262048
optimized,AccountEvent,swap,8,262048,0.01,106.38,0.43,34.47,17.21,0.44,0.00,0.32,5.35,1.00,35518,262048
optimized,AccountEvent.transfer_pending_status,swap,16,262048,0.00,5.29,0.05,15.47,1.58,0.02,-nan,2.92,5.42,0.95,35518,262048
optimized,AccountEvent.prunable,swap,8,262048,0.00,3.49,0.05,12.78,0.76,0.00,-nan,3.67,5.44,0.94,35518,262048
optimized,Account,absorb,8,258138,0.01,156.60,0.57,224.52,7.88,0.67,0.43,1.43,5.41,1.05,35518,258138
optimized,Transfer.id,swap,16,262048,0.00,7.35,0.27,15.98,3.14,0.02,0.00,2.17,4.03,1.00,35518,262048
optimized,Transfer.debit_account_id,swap,32,262048,0.00,74.26,0.31,368.77,2.37,0.23,0.00,4.97,5.35,1.00,35518,262048
optimized,Transfer.credit_account_id,swap,32,262048,0.00,73.78,0.23,368.12,2.39,0.21,0.00,4.99,5.30,1.00,35518,262048
optimized,Transfer.amount,swap,32,262048,0.00,74.51,0.33,368.05,2.48,0.21,0.00,4.94,5.29,1.00,35518,262048
optimized,Transfer.user_data_128,swap,32,262048,0.00,74.36,0.31,368.37,2.45,0.20,0.00,4.95,5.29,1.00,35518,262048
optimized,Transfer.user_data_64,swap,16,262048,0.00,57.91,0.25,257.00,1.34,0.15,0.00,4.44,5.29,1.00,35518,262048
optimized,Transfer.user_data_32,swap,16,262048,0.00,58.23,0.25,256.86,1.27,0.15,0.00,4.41,5.30,1.00,35518,262048
optimized,Transfer.ledger,swap,16,262048,0.00,7.74,0.05,15.47,1.52,0.01,-nan,2.00,5.35,0.97,35518,262048
optimized,Transfer.code,swap,16,262048,0.00,57.66,0.27,256.47,1.31,0.14,0.00,4.45,5.31,1.00,35518,262048
optimized,Transfer,swap,8,262048,0.00,53.66,0.32,23.49,10.44,0.09,0.00,0.44,5.33,1.00,35518,262048
optimized,AccountEvent,swap,8,262048,0.00,94.44,0.38,36.42,18.02,0.12,0.00,0.39,5.36,1.00,35518,262048
optimized,AccountEvent.transfer_pending_status,swap,16,262048,0.00,6.07,0.06,15.47,1.57,0.01,-nan,2.55,5.38,inf,35518,262048
optimized,AccountEvent.prunable,swap,8,262048,0.00,3.48,0.05,12.78,0.77,0.00,-nan,3.67,5.43,inf,35518,262048
optimized,Account,absorb,8,257897,0.01,154.48,0.50,225.85,7.84,0.64,0.43,1.46,5.41,1.04,35518,257897
optimized,Transfer.id,swap,16,262048,0.00,9.54,0.10,15.89,3.16,0.02,0.00,1.67,5.17,0.98,35518,262048
optimized,Transfer.debit_account_id,swap,32,262048,0.00,74.66,0.37,371.18,2.38,0.22,0.00,4.97,5.35,1.00,35518,262048
optimized,Transfer.credit_account_id,swap,32,262048,0.00,73.68,0.23,368.45,2.40,0.21,0.00,5.00,5.31,1.00,35518,262048
optimized,Transfer.amount,swap,32,262048,0.00,74.59,0.56,368.44,2.38,0.22,0.00,4.94,5.29,1.01,35518,262048
optimized,Transfer.user_data_128,swap,32,262048,0.00,74.49,0.39,368.33,2.35,0.21,0.00,4.94,5.29,1.00,35518,262048
optimized,Transfer.user_data_64,swap,16,262048,0.00,58.00,0.32,256.91,1.31,0.15,0.00,4.43,5.29,1.00,35518,262048
optimized,Transfer.user_data_32,swap,16,262048,0.00,57.90,0.27,257.03,1.34,0.14,0.00,4.44,5.30,1.00,35518,262048
optimized,Transfer.ledger,swap,16,262048,0.00,6.38,0.05,15.47,1.53,0.01,-nan,2.42,5.35,0.96,35518,262048
optimized,Transfer.code,swap,16,262048,0.00,57.84,0.28,256.71,1.24,0.15,0.00,4.44,5.31,1.00,35518,262048
optimized,Transfer,swap,8,262048,0.00,52.82,0.23,23.16,10.46,0.09,0.00,0.44,5.32,1.00,35518,262048
optimized,AccountEvent,swap,8,262048,0.00,93.37,0.29,36.40,18.27,0.12,0.00,0.39,5.35,1.18,35518,262048
optimized,AccountEvent.transfer_pending_status,swap,16,262048,0.00,5.58,0.19,15.56,1.59,0.02,0.00,2.79,5.27,0.99,35518,262048
optimized,AccountEvent.prunable,swap,8,262048,0.00,3.57,0.05,12.78,0.76,0.00,-nan,3.58,5.43,0.94,35518,262048
optimized,Account,absorb,8,257715,0.01,157.67,0.64,224.17,7.78,0.62,0.43,1.42,5.40,1.00,35518,257715
optimized,Transfer.id,swap,16,262048,0.00,9.91,0.05,15.84,3.12,0.01,-nan,1.60,5.41,1.05,35518,262048
optimized,Transfer.debit_account_id,swap,32,262048,0.00,74.54,0.31,368.64,2.37,0.23,0.00,4.95,5.34,1.00,35518,262048
optimized,Transfer.credit_account_id,swap,32,262048,0.00,73.55,0.24,368.37,2.39,0.20,0.00,5.01,5.30,1.06,35518,262048
optimized,Transfer.amount,swap,32,262048,0.00,74.45,0.26,368.55,2.39,0.22,0.00,4.95,5.29,1.28,35518,262048
optimized,Transfer.user_data_128,swap,32,262048,0.00,74.74,0.29,368.54,2.39,0.21,0.00,4.93,5.28,1.00,35518,262048
optimized,Transfer.user_data_64,swap,16,262048,0.00,58.11,0.29,256.57,1.24,0.16,0.00,4.42,5.28,1.00,35518,262048
optimized,Transfer.user_data_32,swap,16,262048,0.00,57.84,0.23,256.70,1.24,0.15,0.00,4.44,5.29,1.00,35518,262048
optimized,Transfer.ledger,swap,16,262048,0.00,7.79,0.05,15.47,1.53,0.01,-nan,1.99,5.34,0.97,35518,262048
optimized,Transfer.code,swap,16,262048,0.00,57.66,0.24,256.19,1.27,0.14,0.00,4.44,5.30,1.00,35518,262048
optimized,Transfer,swap,8,262048,0.00,55.24,0.27,24.15,10.41,0.09,0.00,0.44,5.30,1.00,35518,262048
optimized,AccountEvent,swap,8,262048,0.00,97.51,0.36,36.30,18.13,0.14,0.00,0.37,5.34,1.00,35518,262048
optimized,AccountEvent.transfer_pending_status,swap,16,262048,0.00,5.39,0.05,15.47,1.59,0.02,-nan,2.87,5.41,0.96,35518,262048
optimized,AccountEvent.prunable,swap,8,262048,0.00,3.45,0.12,12.83,0.76,0.01,0.00,3.72,5.05,0.97,35518,262048
optimized,Account,absorb,8,257325,0.01,157.26,0.55,224.54,7.74,0.61,0.43,1.43,5.41,1.04,35518,257325
optimized,Transfer.id,swap,16,262048,0.00,7.57,0.11,15.88,3.13,0.02,0.00,2.10,4.06,0.98,35518,262048
optimized,Transfer.debit_account_id,swap,32,262048,0.00,74.34,0.36,368.34,2.37,0.23,0.00,4.95,5.35,1.00,35518,262048
optimized,Transfer.credit_account_id,swap,32,262048,0.00,73.65,0.23,368.09,2.38,0.21,0.00,5.00,5.31,1.00,35518,262048
optimized,Transfer.amount,swap,32,262048,0.00,74.98,0.32,367.76,2.38,0.22,0.00,4.90,5.29,1.00,35518,262048
optimized,Transfer.user_data_128,swap,32,262048,0.00,74.71,0.29,367.99,2.47,0.21,0.00,4.93,5.29,1.00,35518,262048
optimized,Transfer.user_data_64,swap,16,262048,0.00,57.87,0.25,256.78,1.25,0.15,0.00,4.44,5.29,1.00,35518,262048
optimized,Transfer.user_data_32,swap,16,262048,0.00,57.88,0.26,256.85,1.27,0.16,0.00,4.44,5.31,1.00,35518,262048
optimized,Transfer.ledger,swap,16,262048,0.00,7.51,0.05,15.47,1.54,0.01,-nan,2.06,5.35,0.97,35518,262048
optimized,Transfer.code,swap,16,262048,0.00,57.61,0.24,256.74,1.28,0.14,0.00,4.46,5.31,1.00,35518,262048
optimized,Transfer,swap,8,262048,0.00,53.16,0.32,23.40,10.44,0.09,0.00,0.44,5.32,1.00,35518,262048
optimized,AccountEvent,swap,8,262048,0.00,93.34,0.35,36.68,18.01,0.12,0.00,0.39,5.35,1.00,35518,262048
optimized,AccountEvent.transfer_pending_status,swap,16,262048,0.00,6.31,0.19,15.47,1.57,0.02,-nan,2.45,5.52,inf,35518,262048
optimized,AccountEvent.prunable,swap,8,262048,0.00,3.46,0.05,12.78,0.77,0.00,-nan,3.69,5.43,inf,35518,262048
optimized,Account,absorb,8,257489,0.01,157.87,0.53,224.56,7.76,0.63,0.44,1.42,5.41,1.04,35518,257489
optimized,Transfer.id,swap,16,262048,0.00,9.92,0.06,15.84,3.14,0.02,-nan,1.60,5.46,inf,35518,262048
optimized,Transfer.debit_account_id,swap,32,262048,0.00,74.23,0.38,368.59,2.50,0.21,0.00,4.97,5.36,1.00,35518,262048
optimized,Transfer.credit_account_id,swap,32,262048,0.00,73.60,0.21,368.46,2.39,0.21,0.00,5.01,5.30,1.11,35518,262048
optimized,Transfer.amount,swap,32,262048,0.00,72.66,0.28,368.20,2.20,0.12,0.00,5.07,5.28,1.00,35518,262048
optimized,Transfer.user_data_128,swap,32,262048,0.00,72.63,0.32,367.91,2.18,0.11,0.00,5.07,5.28,1.00,35518,262048
optimized,Transfer.user_data_64,swap,16,262048,0.00,57.20,0.25,256.91,1.17,0.11,0.00,4.49,5.28,1.00,35518,262048
optimized,Transfer.user_data_32,swap,16,262048,0.00,56.86,0.38,256.63,1.12,0.09,0.00,4.51,5.30,1.00,35518,262048
optimized,Transfer.ledger,swap,16,262048,0.00,4.81,0.09,15.50,1.52,0.01,0.00,3.22,4.27,0.97,35518,262048
optimized,Transfer.code,swap,16,262048,0.00,56.58,0.21,256.90,1.13,0.10,0.00,4.54,5.30,1.00,35518,262048
optimized,Transfer,swap,8,262048,0.00,53.16,0.17,23.16,10.43,0.08,0.00,0.44,5.32,1.00,35518,262048
optimized,AccountEvent,swap,8,262048,0.00,96.75,0.41,35.79,17.98,0.13,0.00,0.37,5.35,1.00,35518,262048
optimized,AccountEvent.transfer_pending_status,swap,16,262048,0.00,5.55,0.11,15.51,1.58,0.02,0.00,2.79,5.27,0.98,35518,262048
optimized,AccountEvent.prunable,swap,8,262048,0.00,3.66,0.05,12.78,0.76,0.00,-nan,3.49,5.43,0.94,35518,262048
optimized,Account,absorb,8,257765,0.01,156.38,0.41,223.81,7.77,0.63,0.43,1.43,5.41,1.04,35518,257765
optimized,Transfer.id,swap,16,262048,0.00,6.66,0.10,15.87,3.11,0.02,0.00,2.38,3.60,0.98,35518,262048
optimized,Transfer.debit_account_id,swap,32,262048,0.00,74.29,0.37,368.89,2.40,0.23,0.00,4.97,5.34,1.00,35518,262048
optimized,Transfer.credit_account_id,swap,32,262048,0.00,73.57,0.20,368.21,2.38,0.20,0.00,5.00,5.31,1.00,35518,262048
optimized,Transfer.amount,swap,32,262048,0.00,74.60,0.37,368.13,2.40,0.22,0.00,4.93,5.29,1.01,35518,262048
optimized,Transfer.user_data_128,swap,32,262048,0.00,74.53,0.33,367.94,2.35,0.21,0.00,4.94,5.29,1.00,35518,262048
optimized,Transfer.user_data_64,swap,16,262048,0.00,57.93,0.26,257.04,1.32,0.15,0.00,4.44,5.29,1.00,35518,262048
optimized,Transfer.user_data_32,swap,16,262048,0.00,57.81,0.23,256.90,1.27,0.16,0.00,4.44,5.30,1.00,35518,262048
optimized,Transfer.ledger,swap,16,262048,0.00,7.77,0.05,15.47,1.53,0.01,-nan,1.99,5.35,0.97,35518,262048
optimized,Transfer.code,swap,16,262048,0.00,57.67,0.25,256.64,1.27,0.15,0.00,4.45,5.31,1.00,35518,262048
optimized,Transfer,swap,8,262048,0.00,51.77,0.29,23.30,10.46,0.09,0.00,0.45,5.31,1.00,35518,262048
optimized,AccountEvent,swap,8,262048,0.00,94.01,0.25,36.41,18.05,0.13,0.00,0.39,5.35,1.00,35518,262048
optimized,AccountEvent.transfer_pending_status,swap,16,262048,0.00,4.14,0.10,15.51,1.58,0.02,0.00,3.75,4.02,0.98,35518,262048
optimized,AccountEvent.prunable,swap,8,262048,0.00,3.49,0.05,12.78,0.76,0.00,-nan,3.66,5.44,0.94,35518,262048
optimized,Account,absorb,8,257980,0.01,159.22,0.52,224.46,7.95,0.67,0.44,1.41,5.43,1.00,35518,257980
optimized,Transfer.id,swap,16,262048,0.00,10.15,0.06,15.84,3.11,0.01,-nan,1.56,5.44,1.09,35518,262048
optimized,Transfer.debit_account_id,swap,32,262048,0.00,74.14,0.28,369.28,2.54,0.21,0.00,4.98,5.35,1.00,35518,262048
optimized,Transfer.credit_account_id,swap,32,262048,0.00,73.48,0.22,368.61,2.41,0.21,0.00,5.02,5.31,1.04,35518,262048
optimized,Transfer.amount,swap,32,262048,0.00,73.11,0.25,367.25,2.27,0.15,0.00,5.02,5.29,1.00,35518,262048
optimized,Transfer.user_data_128,swap,32,262048,0.00,72.71,0.30,367.85,2.20,0.11,0.00,5.06,5.28,1.00,35518,262048
optimized,Transfer.user_data_64,swap,16,262048,0.00,56.56,0.28,256.96,1.16,0.10,0.00,4.54,5.29,1.00,35518,262048
optimized,Transfer.user_data_32,swap,16,262048,0.00,56.75,0.23,256.62,1.13,0.10,0.00,4.52,5.30,1.00,35518,262048
optimized,Transfer.ledger,swap,16,262048,0.00,5.97,0.06,15.47,1.53,0.01,-nan,2.59,5.34,inf,35518,262048
optimized,Transfer.code,swap,16,262048,0.00,56.53,0.30,256.87,1.19,0.09,0.00,4.54,5.31,1.07,35518,262048
optimized,Transfer,swap,8,262048,0.00,52.27,0.20,23.16,10.42,0.07,0.00,0.44,5.32,1.13,35518,262048
optimized,AccountEvent,swap,8,262048,0.00,95.18,0.41,35.99,18.02,0.12,0.00,0.38,5.35,1.00,35518,262048
optimized,AccountEvent.transfer_pending_status,swap,16,262048,0.00,5.99,0.09,15.51,1.57,0.02,0.00,2.59,5.35,0.98,35518,262048
